Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,GDP,Status,Status_Encoded
Single,2nd phase - general contingent,4,Management,Daytime,Secondary education,132,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",120,Yes,No,Yes,Male,Yes,18,5,8,4,10,0,0,5,10,2,12,0,2,Dropout,0
Single,Over 23 years old,2,Social Service,Daytime,Secondary education,110,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",136,No,No,Yes,Male,No,28,5,6,0,0,0,0,5,5,0,0,0,0,Dropout,0
Married,Over 23 years old,1,Agronomy,Daytime,Secondary education,130,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",122,No,Yes,No,Male,No,25,10,23,6,11,0,2,7,15,4,12,1,-4,Dropout,0
Single,Change of course,1,Agronomy,Daytime,Secondary education,130,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,130,No,No,Yes,Male,No,25,14,24,8,12,2,6,13,23,10,11,0,-4,Dropout,0
Single,1st phase - general contingent,1,Management,Daytime,Secondary education,135,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",126,No,No,Yes,Male,No,18,5,11,2,13,0,0,5,11,3,12,0,3,Un-Dropout,1
Single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,133,Higher Education - Master's,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",98,No,No,Yes,Male,No,26,6,6,0,0,0,0,6,12,0,0,0,1,Dropout,0
Single,2nd phase - general contingent,3,Management,Daytime,Secondary education,135,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",121,Yes,No,Yes,Male,Yes,18,5,8,5,12,0,0,5,7,5,11,0,0,Un-Dropout,1
Single,Change of course,1,Journalism and Communication,Daytime,Secondary education,128,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",124,Yes,No,Yes,Male,No,22,6,17,3,11,3,0,6,14,3,12,0,-4,Un-Dropout,1
Single,Over 23 years old,1,Agronomy,Daytime,Secondary education,140,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",130,No,No,Yes,Male,No,25,6,8,0,0,0,0,6,10,0,0,0,0,Dropout,0
Single,1st phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,135,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,136,Yes,No,Yes,Male,No,19,6,9,5,11,0,0,6,13,5,12,0,3,Un-Dropout,1
Single,2nd phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,131,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,132,Yes,No,Yes,Male,No,19,6,7,6,14,0,0,6,7,6,14,0,0,Un-Dropout,1
Single,2nd phase - general contingent,1,Nursing,Daytime,Secondary education,131,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",126,No,No,Yes,Male,No,19,7,9,7,12,0,0,8,10,8,11,0,0,Un-Dropout,1
Divorced,Over 23 years old,1,Social Service (evening attendance),Evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,100,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",111,No,No,Yes,Male,No,45,8,10,4,11,0,2,8,13,4,11,0,1,Dropout,0
Married,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,140,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,118,No,No,Yes,Male,No,52,5,7,5,11,0,0,5,6,5,12,1,0,Un-Dropout,1
Single,1st phase - general contingent,1,Management,Daytime,Secondary education,124,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,115,Yes,No,No,Male,No,20,5,9,3,12,1,0,5,7,3,11,0,-3,Dropout,0
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,130,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,117,Yes,No,Yes,Male,No,19,8,8,7,15,0,0,8,8,7,15,0,1,Un-Dropout,1
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,142,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,127,No,Yes,No,Male,No,21,7,12,4,12,0,0,7,12,4,11,0,1,Dropout,0
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,150,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,140,No,No,No,Male,No,35,6,6,6,14,0,0,6,6,6,14,0,-3,Un-Dropout,1
Married,Over 23 years old,1,Animation and Multimedia Design,Daytime,Other - 11th year of schooling,110,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",106,Yes,No,Yes,Male,No,36,0,0,0,0,0,0,0,0,0,0,0,0,Un-Dropout,1
Divorced,Over 23 years old,1,Nursing,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,110,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",151,No,Yes,No,Male,No,47,7,7,0,0,7,0,8,8,0,0,8,-4,Dropout,0
Single,3rd phase - general contingent,1,Management (evening attendance),Evening,Secondary education,112,Higher Education - Master (2nd cycle),Higher education - degree (1st cycle),Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,106,No,No,Yes,Male,No,22,5,0,0,0,0,0,5,0,0,0,0,3,Dropout,0
Married,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,100,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,125,Yes,No,Yes,Male,No,41,5,8,4,11,0,0,5,8,3,11,1,0,Dropout,0
Single,Holders of other higher courses,1,Informatics Engineering,Daytime,Higher education - degree,130,Unknown,Unknown,Other Situation,Other Situation,130,No,No,Yes,Male,No,26,5,5,0,0,0,0,5,6,0,0,0,1,Dropout,0
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,133,Unknown,Unknown,Other Situation,Other Situation,116,No,No,No,Female,No,51,6,13,4,11,0,0,6,12,0,0,1,1,Dropout,0
Married,Over 23 years old,2,Management (evening attendance),Evening,Secondary education,150,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,120,No,No,Yes,Female,No,43,5,11,3,10,0,1,5,10,4,12,0,-3,Un-Dropout,1
Married,Over 23 years old,2,Social Service (evening attendance),Evening,Secondary education,100,Unknown,Unknown,Student,Student,100,Yes,No,Yes,Female,No,41,6,9,5,11,0,1,6,10,3,10,1,0,Un-Dropout,1
Single,Change of course,2,Management,Daytime,Secondary education,130,Unknown,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,118,Yes,No,Yes,Male,No,23,10,19,8,11,1,4,10,16,10,11,3,0,Un-Dropout,1
Single,Change of course,2,Social Service,Daytime,Secondary education,129,Unknown,8th year of schooling,Student,"Personal Services, Security and Safety Workers and Sellers",118,Yes,No,Yes,Male,No,22,6,11,0,0,0,0,5,10,0,0,0,-3,Dropout,0
Single,2nd phase - general contingent,2,Communication Design,Daytime,Secondary education,127,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,119,Yes,No,Yes,Male,Yes,25,6,8,4,10,0,0,6,6,4,11,0,-1,Dropout,0
Single,Change of course,1,Management (evening attendance),Evening,Secondary education,140,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,135,Yes,No,Yes,Male,No,25,15,16,15,10,0,13,14,14,14,11,0,-3,Un-Dropout,1
Single,Short cycle diploma holders,1,Animation and Multimedia Design,Daytime,Professional higher technical course,130,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,130,Yes,No,No,Male,Yes,22,12,15,11,12,0,4,11,16,11,12,0,3,Un-Dropout,1
Single,Over 23 years old,1,Agronomy,Daytime,Secondary education,133,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Unskilled workers in agriculture, animal production, fisheries and forestry",Other administrative support staff,129,No,No,Yes,Male,No,24,7,7,7,13,0,0,6,9,5,13,0,3,Un-Dropout,1
Single,Over 23 years old,1,Veterinary Nursing,Daytime,Higher education - bachelor's degree,140,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,150,No,No,Yes,Male,No,47,6,0,0,0,0,0,6,0,0,0,0,0,Dropout,0
Married,Over 23 years old,1,Management (evening attendance),Evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",111,Yes,No,Yes,Male,No,41,5,5,0,0,0,0,5,5,0,0,0,0,Dropout,0
Single,Over 23 years old,1,Agronomy,Daytime,Secondary education,120,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,150,Yes,No,Yes,Male,No,43,6,9,6,14,0,0,6,11,5,12,0,0,Un-Dropout,1
Single,Over 23 years old,1,Agronomy,Daytime,Secondary education,133,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,130,No,No,Yes,Male,No,29,3,4,0,0,0,0,4,8,0,0,0,0,Dropout,0
Single,Over 23 years old,2,Informatics Engineering,Daytime,Secondary education,120,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",128,No,No,Yes,Male,No,30,2,2,0,0,0,0,2,2,0,0,0,0,Dropout,0
Single,Over 23 years old,2,Management,Daytime,Basic education 2nd cycle (6th/7th/8th year) or equiv.,133,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,102,No,No,No,Male,No,26,4,4,0,0,0,0,5,0,0,0,0,-1,Dropout,0
Single,Over 23 years old,2,Management (evening attendance),Evening,Secondary education,133,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,102,No,No,No,Male,No,27,5,10,0,0,0,0,5,5,0,0,0,-4,Dropout,0
Married,Over 23 years old,2,Advertising and Marketing Management,Daytime,Secondary education,100,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,110,No,No,Yes,Male,Yes,36,5,5,5,11,0,0,5,7,5,11,0,-3,Un-Dropout,1
Single,Over 23 years old,1,Agronomy,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Armed Forces Professions,114,No,No,Yes,Male,No,29,9,13,6,11,0,2,7,10,6,10,0,-4,Dropout,0
Single,Transfer,1,Informatics Engineering,Daytime,Secondary education,120,Unknown,Unknown,Student,Student,128,Yes,No,Yes,Male,No,35,10,12,7,11,0,2,8,8,5,13,0,-3,Dropout,0
Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,128,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Intermediate Level Technicians and Professions,116,No,No,Yes,Male,Yes,18,6,12,4,11,0,0,6,10,5,12,0,1,Un-Dropout,1
Single,1st phase - general contingent,1,Management (evening attendance),Evening,Secondary education,172,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,149,No,No,Yes,Male,Yes,24,5,5,5,16,0,0,5,5,5,16,0,3,Un-Dropout,1
Single,1st phase - general contingent,3,Journalism and Communication,Daytime,Secondary education,146,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",134,Yes,No,Yes,Male,Yes,18,6,6,6,12,0,0,6,7,6,12,0,1,Dropout,0
Single,2nd phase - general contingent,4,Informatics Engineering,Daytime,Secondary education,135,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",126,Yes,No,Yes,Male,No,18,5,7,4,12,0,0,5,10,3,13,3,0,Un-Dropout,1
Married,Change of course,1,Veterinary Nursing,Daytime,Secondary education,160,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",120,No,No,Yes,Male,No,21,5,11,0,0,2,0,5,11,3,11,1,-3,Un-Dropout,1
Single,Transfer,1,Informatics Engineering,Daytime,Secondary education,150,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,133,Yes,No,Yes,Male,No,21,5,10,5,13,0,0,5,10,5,12,0,-3,Un-Dropout,1
Single,Over 23 years old,1,Agronomy,Daytime,Secondary education,130,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",110,No,No,Yes,Male,No,32,18,27,13,13,1,7,12,18,12,12,0,-4,Un-Dropout,1
Single,1st phase - general contingent,4,Informatics Engineering,Daytime,Secondary education,111,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",107,Yes,No,Yes,Male,Yes,22,5,9,3,12,0,0,6,14,3,12,0,2,Dropout,0
Single,Holders of other higher courses,1,Agronomy,Daytime,Higher education - degree,130,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",130,Yes,No,No,Male,No,32,17,31,11,12,4,10,12,24,10,12,1,-4,Dropout,0
Single,Change of course,1,Advertising and Marketing Management,Daytime,Frequency of higher education,170,Unknown,Unknown,Student,Student,111,No,No,Yes,Male,No,35,5,5,1,14,0,0,5,5,0,0,0,-3,Dropout,0
Single,3rd phase - general contingent,3,Management,Daytime,Secondary education,133,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",101,Yes,No,No,Male,No,23,5,0,0,0,0,0,5,0,0,0,0,3,Dropout,0
Single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,100,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",108,No,No,Yes,Male,No,39,6,8,5,11,0,1,6,12,3,11,1,0,Un-Dropout,1
Married,Change of course,1,Advertising and Marketing Management,Daytime,Secondary education,120,Unknown,Unknown,Student,Student,128,No,No,Yes,Male,No,35,5,5,0,0,0,0,5,5,1,10,0,-3,Dropout,0
Married,Over 23 years old,1,Agronomy,Daytime,Higher education - degree,110,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",150,No,No,Yes,Male,No,32,6,8,6,18,0,6,12,14,12,17,0,0,Un-Dropout,1
Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,133,Unknown,Unknown,Student,Student,142,No,No,Yes,Male,No,20,6,12,0,0,0,0,6,12,0,0,0,0,Dropout,0
Single,Over 23 years old,1,Nursing,Daytime,Secondary education,120,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,100,No,No,Yes,Male,No,34,7,15,6,11,0,0,7,16,4,12,0,0,Un-Dropout,1
Single,Holders of other higher courses,1,Management (evening attendance),Evening,Higher education - degree (1st cycle),150,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",150,Yes,No,Yes,Male,No,44,7,9,7,13,0,0,5,6,5,16,0,3,Dropout,0
Married,Over 23 years old,1,Tourism,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,156,No,No,Yes,Male,No,53,11,12,2,15,7,4,9,10,3,10,4,0,Un-Dropout,1
Single,Over 23 years old,1,Informatics Engineering,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,120,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Administrative staff,98,No,Yes,No,Male,No,28,5,10,0,0,0,0,5,7,0,0,0,1,Dropout,0
Single,Holders of other higher courses,1,Management (evening attendance),Evening,Higher education - degree,130,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130,No,No,Yes,Male,No,31,9,9,9,14,0,5,5,5,5,12,0,-1,Dropout,0
Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,130,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,118,No,Yes,No,Male,No,18,0,0,0,0,0,0,0,0,0,0,0,-3,Un-Dropout,1
Single,Over 23 years old,1,Agronomy,Daytime,Secondary education,100,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Unskilled Workers,Armed Forces Professions,120,No,Yes,No,Male,No,44,7,14,4,12,2,0,6,16,0,0,1,-4,Dropout,0
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,142,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,127,Yes,No,Yes,Male,No,19,5,9,5,12,1,0,5,8,4,12,0,-1,Un-Dropout,1
Single,International student (bachelor),1,Animation and Multimedia Design,Daytime,Secondary education,130,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,130,No,No,Yes,Male,No,21,12,12,12,15,0,4,11,15,11,13,0,3,Un-Dropout,1
Single,3rd phase - general contingent,1,Informatics Engineering,Daytime,Secondary education,148,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",147,No,No,Yes,Male,Yes,18,5,5,0,0,0,0,5,5,0,0,0,-3,Dropout,0
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,170,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",170,Yes,No,Yes,Male,No,20,6,8,6,14,0,0,6,10,6,15,0,0,Un-Dropout,1
Single,Over 23 years old,1,Communication Design,Daytime,Secondary education,110,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",110,No,No,Yes,Male,No,55,6,6,6,14,0,0,6,6,6,13,0,2,Un-Dropout,1
Single,1st phase - general contingent,1,Management,Daytime,Secondary education,166,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,146,No,No,Yes,Male,No,27,5,12,3,10,0,0,5,12,1,13,0,0,Un-Dropout,1
Single,2nd phase - general contingent,2,Informatics Engineering,Daytime,Secondary education,135,Other - 11th Year of Schooling,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",121,No,No,Yes,Male,No,19,5,0,0,0,0,0,5,0,0,0,0,1,Dropout,0
Single,1st phase - general contingent,1,Management,Daytime,Secondary education,133,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,129,No,No,Yes,Male,No,18,5,5,5,11,0,0,5,5,5,13,0,1,Un-Dropout,1
Married,Over 23 years old,1,Journalism and Communication,Daytime,Secondary education,133,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,132,No,No,Yes,Male,No,43,6,10,4,11,0,0,6,7,0,0,0,-4,Dropout,0
Single,3rd phase - general contingent,3,Tourism,Daytime,Secondary education,121,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",125,Yes,No,Yes,Male,No,18,6,0,0,0,0,0,6,0,0,0,0,0,Dropout,0
Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,159,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,165,Yes,No,Yes,Male,No,18,0,0,0,0,0,0,0,0,0,0,0,-3,Dropout,0
Single,2nd phase - general contingent,5,Tourism,Daytime,Secondary education,130,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,122,Yes,Yes,Yes,Male,Yes,20,6,7,0,0,0,0,6,6,0,0,0,3,Dropout,0
Married,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,121,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,141,No,Yes,No,Male,No,29,5,7,4,11,0,0,5,8,4,11,0,1,Dropout,0
Single,Over 23 years old,1,Equinculture,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Armed Forces Professions,156,Yes,Yes,Yes,Male,No,44,6,9,5,11,0,0,6,11,0,0,0,0,Dropout,0
Single,1st phase - general contingent,1,Informatics Engineering,Daytime,Secondary education,146,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,148,Yes,No,Yes,Male,No,18,5,7,4,10,0,0,5,8,1,16,0,1,Un-Dropout,1
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,140,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",140,No,No,Yes,Male,Yes,20,6,11,5,13,0,0,6,13,6,12,0,-4,Un-Dropout,1
Single,Change of course,1,Communication Design,Daytime,Secondary education,125,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,"Skilled Workers in Industry, Construction and Craftsmen",131,Yes,No,Yes,Male,No,20,6,6,4,12,0,3,9,12,3,12,0,1,Dropout,0
Married,Over 23 years old,2,Management,Daytime,Secondary education,120,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,104,Yes,No,Yes,Male,No,36,4,4,0,0,0,0,5,9,0,0,0,1,Dropout,0
Single,Technological specialization diploma holders,1,Equinculture,Daytime,Technological specialization course,150,Higher Education - Doctorate,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",150,Yes,No,Yes,Male,No,19,6,13,5,11,0,1,6,12,2,11,0,0,Un-Dropout,1
Married,Over 23 years old,1,Veterinary Nursing,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,110,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,Other Situation,110,No,No,No,Male,No,29,5,5,0,0,0,0,5,5,0,0,0,-1,Dropout,0
